"Title:","Dow Jones Industrial Average (US) - High from the Dow Jones Industrial Average (US) Database"
"SubTitle:","International"
"Time:","01/02/1980 - 11/11/2022"
"Unit of Measure:","$"
"Citation:","S&P Dow Jones Indices (US) (2022-11-14). Dow Jones Industrial Average (US): Dow Jones Industrial Average (US) - High, 01/02/1980 - 11/11/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  039-001-002 doi:https://doi.org/10.6068/DP184779A1F7630"
"ColumnCount:",2
"RowCount:",10797

"Time","Dow Jones Industrial Average (US) - High ($)"
"03/21/1983",1130.31
"03/22/1983",1135.73
"03/23/1983",1147.83
"03/24/1983",1154.41
"03/25/1983",1153.83
"03/28/1983",1145.8
"03/29/1983",1142.8
"03/30/1983",1146.67
"03/31/1983",1158.48
"04/04/1983",1133.03
"04/05/1983",1137.58
"04/06/1983",1122.48
"04/07/1983",1123.36
"04/08/1983",1128.88
"04/11/1983",1144.55
"04/12/1983",1151.8
"04/13/1983",1165.34
"04/14/1983",1171.05
"04/15/1983",1177.05
"04/18/1983",1187.89
"04/19/1983",1187.98
"04/20/1983",1197.56
"04/21/1983",1202.11
"04/22/1983",1204.63
"04/25/1983",1206.75
"04/26/1983",1210.81
"04/27/1983",1225.05
"04/28/1983",1226.97
"04/29/1983",1235.48
"05/02/1983",1225.44
"05/03/1983",1214.11
"05/04/1983",1227.94
"05/05/1983",1225.81
"05/06/1983",1244.48
"05/09/1983",1241.3
"05/10/1983",1240.03
"05/11/1983",1234.42
"05/12/1983",1226.59
"05/13/1983",1228.05
"05/16/1983",1209.95
"05/17/1983",1211.88
"05/18/1983",1225.05
"05/19/1983",1208.49
"05/20/1983",1197.27
"05/23/1983",1205.41
"05/24/1983",1224.06
"05/25/1983",1234.05
"05/26/1983",1237.05
"05/27/1983",1229.3
"05/31/1983",1217.59
"06/01/1983",1208.3
"06/02/1983",1218.16
"06/03/1983",1222.45
"06/06/1983",1223.27
"06/07/1983",1218.16
"06/08/1983",1199.52
"06/09/1983",1196.7
"06/10/1983",1204.53
"06/13/1983",1223.45
"06/14/1983",1237.28
"06/15/1983",1240.19
"06/16/1983",1259.81
"06/17/1983",1260.72
"06/20/1983",1258.61
"06/21/1983",1253
"06/22/1983",1258.2
"06/23/1983",1250.59
"06/24/1983",1250.2
"06/27/1983",1246.3
"06/28/1983",1237.69
"06/29/1983",1222.16
"06/30/1983",1229.27
"07/01/1983",1231.06
"07/05/1983",1217.25
"07/06/1983",1224.45
"07/07/1983",1227.27
"07/08/1983",1218.95
"07/11/1983",1221.95
"07/12/1983",1218.34
"07/13/1983",1205.83
"07/14/1983",1215.05
"07/15/1983",1205.73
"07/18/1983",1197.63
"07/19/1983",1205.13
"07/20/1983",1230.56
"07/21/1983",1238.48
"07/22/1983",1238.19
"07/25/1983",1239.78
"07/26/1983",1250
"07/27/1983",1258.52
"07/28/1983",1236.58
"07/29/1983",1216.75
"08/01/1983",1204.33
"08/02/1983",1202.52
"08/03/1983",1203.73
"08/04/1983",1200.52
"08/05/1983",1191.91
"08/08/1983",1180.19
"08/09/1983",1177.28
"08/10/1983",1182.19
"08/11/1983",1185.88
"08/12/1983",1189.63
"08/15/1983",1208.73
"08/16/1983",1199.7
"08/17/1983",1212.09
"08/18/1983",1215.45
"08/19/1983",1200.52
"08/22/1983",1216.27
"08/23/1983",1205.48
"08/24/1983",1199.8
"08/25/1983",1195.22
"08/26/1983",1196.95
"08/29/1983",1198.38
"08/30/1983",1204.38
"08/31/1983",1219.81
"09/01/1983",1221.23
"09/02/1983",1221.34
"09/06/1983",1244.11
"09/07/1983",1253.95
"09/08/1983",1252.95
"09/09/1983",1252.73
"09/12/1983",1262.8
"09/13/1983",1233.44
"09/14/1983",1233.94
"09/15/1983",1232.83
"09/16/1983",1232.72
"09/19/1983",1242.69
"09/20/1983",1257.02
"09/21/1983",1255.89
"09/22/1983",1261.28
"09/23/1983",1265.55
"09/26/1983",1270.73
"09/27/1983",1259.25
"09/28/1983",1253.56
"09/29/1983",1252.03
"09/30/1983",1242.89
"10/03/1983",1237.09
"10/04/1983",1247.56
"10/05/1983",1254.88
"10/06/1983",1272.16
"10/07/1983",1280.28
"10/10/1983",1286.69
"10/11/1983",1285.27
"10/12/1983",1273.06
"10/13/1983",1270.63
"10/14/1983",1270.13
"10/17/1983",1278.66
"10/18/1983",1272.77
"10/19/1983",1255.28
"10/20/1983",1258.73
"10/21/1983",1260.77
"10/24/1983",1252.55
"10/25/1983",1263.41
"10/26/1983",1259.16
"10/27/1983",1249.09
"10/28/1983",1248.69
"10/31/1983",1236.48
"11/01/1983",1233.94
"11/02/1983",1244.11
"11/03/1983",1242.69
"11/04/1983",1227.73
"11/07/1983",1226.52
"11/08/1983",1222.05
"11/09/1983",1235.47
"11/10/1983",1245.83
"11/11/1983",1253.56
"11/14/1983",1265.05
"11/15/1983",1260.88
"11/16/1983",1260.47
"11/17/1983",1262.09
"11/18/1983",1260.77
"11/21/1983",1272.36
"11/22/1983",1287.8
"11/23/1983",1284.55
"11/25/1983",1282.22
"11/28/1983",1279.78
"11/29/1983",1290.95
"11/30/1983",1296.95
"12/01/1983",1285.47
"12/02/1983",1281.3
"12/05/1983",1275.41
"12/06/1983",1281.3
"12/07/1983",1282.42
"12/08/1983",1278.16
"12/09/1983",1268.09
"12/12/1983",1269.11
"12/13/1983",1267.17
"12/14/1983",1261.38
"12/15/1983",1250.2
"12/16/1983",1248.27
"12/19/1983",1254.88
"12/20/1983",1251.94
"12/21/1983",1260.27
"12/22/1983",1265.23
"12/23/1983",1259.25
